# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	3398
#@/user_id	544a1c7e-cbba-49e6-a52e-1059a45da9cf
ai 	唉	c=1 d=1 t=588
zi dai 	自帶	c=1 d=1 t=2433
zi ding yi 	自定義	c=2 d=1.00108 t=3199
zi dong 	自動	c=3 d=1.20425 t=2796
zi fa 	自發	c=1 d=1 t=1202
zi fu 	字符	c=0 d=0.112246 t=513
zi fu she bei 	字符設備	c=1 d=1 t=94
zi fu shu zu 	字符數組	c=1 d=1 t=514
zi ji 	自己	c=4 d=1.00009 t=3176
zi jie 	字節	c=2 d=1.00131 t=1398
zi lei 	子類	c=2 d=1.39063 t=3211
zi shen 	自身	c=2 d=1.51427 t=1241
zi ti 	字體	c=2 d=1.00046 t=2141
zi yuan 	資源	c=3 d=1.00544 t=1857
zong gong 	總共	c=1 d=1 t=542
zu 	組	c=2 d=1.00187 t=3067
zu nei 	組內	c=2 d=1.00354 t=3344
zu se 	阻塞	c=2 d=1.39852 t=1124
zui 	最	c=1 d=1 t=2188
zui duo 	最多	c=1 d=1 t=768
zui hao 	最好	c=1 d=1 t=632
zui hou 	最後	c=3 d=2.10379 t=3128
zui jin 	最近	c=1 d=1 t=3142
zui xiao 	最小	c=0 d=0.1 t=496
zui xiao dan yuan 	最小單元	c=1 d=1 t=497
zun xun 	遵循	c=1 d=1 t=439
zuo 	做	c=5 d=1.55621 t=3143
zuo de 	做的	c=1 d=1 t=759
zuo ge 	做個	c=1 d=1 t=675
zuo le 	做了	c=1 d=1 t=2077
zuo tian 	昨天	c=3 d=2.79127 t=2107
zuo wei 	作爲	c=7 d=1.42201 t=3289
zuo yong 	作用	c=1 d=1 t=3169
