# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
mang bu kai 	忙不開	c=1 d=1 t=54794
mang wan 	忙完	c=1 d=1 t=10306
mao si 	貌似	c=44 d=1.70068 t=59920
me 	麼	c=235 d=0.560391 t=59920
me chuang 	麼牀	c=1 d=1 t=9147
me yang 	麼樣	c=1 d=1 t=57748
me zuo 	麼做	c=1 d=1 t=11226
mei 	每	c=2 d=1.23693 t=9940
mei 	沒	c=88 d=0.282551 t=59920
mei ban fa 	沒辦法	c=2 d=1.96561 t=42296
mei bao cuo 	沒報錯	c=1 d=1 t=17340
mei bi yao 	沒必要	c=2 d=1 t=30353
mei bian 	沒編	c=2 d=1.93239 t=7014
mei bie ren 	沒別人	c=1 d=1 t=32442
mei ce shi 	沒測試	c=1 d=1 t=28101
mei cheng gong 	沒成功	c=1 d=1 t=29347
mei cheng xiang 	沒成想	c=1 d=1 t=9868
mei chi wan 	沒吃完	c=1 d=1 t=14880
mei chu 	沒出	c=3 d=1 t=57912
mei chu li hao 	沒出利好	c=1 d=1 t=28380
mei ci 	每次	c=21 d=2.6687 t=59088
mei cuo 	沒錯	c=1 d=1 t=28776
mei da suan 	沒打算	c=1 d=1 t=58175
mei dai 	沒帶	c=1 d=1 t=9866
mei dang 	每當	c=1 d=1 t=49382
mei duan 	每段	c=1 d=1 t=45195
mei fa 	沒法	c=8 d=1 t=53973
mei fa bi 	沒法比	c=1 d=1 t=27512
mei fa guo le 	沒法過了	c=1 d=1 t=20395
mei fa xian 	沒發現	c=2 d=1 t=55772
mei fu xian 	沒復現	c=2 d=1 t=53182
mei gai 	沒改	c=1 d=1 t=29212
mei gai guo 	沒改過	c=1 d=1 t=28331
mei gan 	沒敢	c=0 d=0.1 t=26714
mei gan dong 	沒敢動	c=1 d=1 t=26715
mei ge 	每個	c=59 d=0.0280154 t=59920
mei ge 	每隔	c=1 d=1 t=41730
mei ge ren 	每個人	c=1 d=1 t=40227
mei gen jin 	沒跟進	c=1 d=1 t=19012
mei guan 	沒關	c=2 d=1 t=42529
mei guan 	美觀	c=1 d=1 t=23240
mei guan xi 	沒關係	c=3 d=1 t=42533
mei hang 	每行	c=6 d=1 t=45194
mei huan jing 	沒環境	c=3 d=1.91851 t=29235
mei hui 	美輝	c=4 d=1 t=59554
mei ji ge 	沒幾個	c=1 d=1 t=6269
mei ji qun 	沒集羣	c=1 d=1 t=34947
mei ji tian 	沒幾天	c=1 d=1 t=28168
mei ji zhu 	沒記住	c=1 d=1 t=57842
mei jia jin lai 	沒加進來	c=1 d=1 t=50776
mei jia suo 	沒加鎖	c=1 d=1 t=38724
mei jia zai wan 	沒加載完	c=1 d=1 t=32416
mei jian guo 	沒見過	c=1 d=1 t=21273
mei ju 	枚舉	c=1 d=0.1 t=57518
mei ju zhi 	枚舉值	c=1 d=1 t=57519
mei ka zhu 	沒卡主	c=1 d=1 t=47591
mei kai 	沒開	c=2 d=1 t=21594
mei kan 	沒看	c=2 d=1 t=28518
mei kan dong 	沒看懂	c=6 d=1.99501 t=57982
mei kan jian 	沒看見	c=4 d=1 t=56888
mei kao lv 	沒考慮	c=1 d=1 t=28080
mei ke 	每顆	c=0 d=0.1 t=49826
mei ke shu 	每顆數	c=1 d=1 t=49827
mei ke shu 	沒棵樹	c=1 d=1 t=49826
mei lai 	沒來	c=1 d=1 t=13481
mei le 	沒了	c=1 d=1 t=31700
mei li jie 	沒理解	c=1 d=1 t=27017
mei miao 	每秒	c=4 d=1.93711 t=46535
mei miao zhong 	每秒鐘	c=1 d=1 t=46493
mei na me duo 	沒那麼多	c=1 d=1 t=53203
mei ne 	沒呢	c=1 d=1 t=14574
mei nei cun 	沒內存	c=1 d=1 t=18739
mei nei rong 	沒內容	c=1 d=1 t=33567
mei neng 	沒能	c=10 d=0.100016 t=57223
mei neng fu xian 	沒能復現	c=1 d=1 t=57224
mei pao wan 	沒跑完	c=1 d=1 t=33143
mei pei 	沒配	c=1 d=1 t=33099
mei ren 	沒人	c=2 d=0.1 t=20216
mei ren hui ying 	沒人回應	c=1 d=1 t=20217
mei ren kan 	沒人看	c=1 d=1 t=16541
mei ren yong 	沒人用	c=2 d=1 t=47574
mei sha 	沒啥	c=19 d=1.74962 t=59920
mei shen me 	沒什麼	c=6 d=5.10648e-06 t=59920
mei shi 	沒事	c=37 d=0.856424 t=59920
mei shi guo 	沒試過	c=1 d=1 t=38929
mei shi jian 	沒時間	c=1 d=1 t=53626
mei shi le 	沒事了	c=1 d=1 t=19869
mei shou dao 	沒收到	c=2 d=1 t=58219
mei shuo ming 	沒說明	c=1 d=1 t=41384
mei shuo qing chu 	沒說清楚	c=1 d=1 t=57819
mei tai 	沒太	c=1 d=1 t=26020
mei tan 	煤炭	c=1 d=1 t=20340
mei ti 	沒提	c=1 d=1 t=6288
mei tian 	每天	c=4 d=1 t=58032
mei tiao 	每條	c=2 d=1 t=44904
mei ting 	沒聽	c=1 d=1 t=10293
mei ting shuo 	沒聽說	c=1 d=0.646074 t=28852
mei ting shuo ne 	沒聽說呢	c=1 d=1 t=28853
mei wang 	沒往	c=1 d=1 t=13497
mei wen ti 	沒問題	c=8 d=1 t=45318
mei xi guan 	沒習慣	c=1 d=1 t=41498
mei xiang 	沒想	c=0 d=0.1 t=40193
mei xiang hao 	沒想好	c=1 d=1 t=40194
mei xie quan 	沒寫全	c=1 d=1 t=32153
mei yi 	每一	c=0 d=0.1 t=49220
mei yi ge 	每一個	c=4 d=8.96319e-07 t=59920
mei yi lie 	每一列	c=1 d=1 t=49221
mei ying xiang 	沒影響	c=1 d=1 t=15420
mei yong 	沒用	c=6 d=1 t=50782
mei you 	沒有	c=217 d=1.42146 t=59920
mei you ban fa 	沒有辦法	c=0 d=0.1 t=20069
mei you ban fa de ban fa 	沒有辦法的辦法	c=1 d=1 t=20070
mei you bi yao 	沒有必要	c=1 d=1 t=52709
mei you du 	沒有讀	c=1 d=1 t=57772
mei you dui qi 	沒有對齊	c=1 d=1 t=11273
mei you gai cheng 	沒有改成	c=1 d=1 t=29767
mei you le 	沒有了	c=1 d=1 t=20084
mei you shen me 	沒有什麼	c=2 d=1 t=53968
mei you wen ti 	沒有問題	c=1 d=0.000812821 t=59920
mei you yi jian 	沒有意見	c=1 d=1 t=38636
mei you yong 	沒有用	c=1 d=1 t=50787
mei yu dao guo 	沒遇到過	c=1 d=1 t=28344
mei zai 	沒在	c=6 d=0.000902809 t=59920
mei zai yong 	沒在用	c=1 d=1 t=26687
mei zen me 	沒怎麼	c=1 d=1 t=37707
mei zhao 	沒招	c=0 d=0.1 t=31926
mei zhao dao 	沒找到	c=2 d=1 t=15452
mei zhao guo wo 	沒招過我	c=1 d=1 t=31927
mei zhao ji 	沒着急	c=1 d=1 t=30732
mei zhong 	每種	c=2 d=1 t=59211
mei zhu yi 	沒主意	c=1 d=1 t=26220
mei zhun 	沒準	c=6 d=1.00001 t=39313
mei zu cheng 	沒組成	c=1 d=1 t=34905
mei zuo 	沒做	c=0 d=0.1 t=15227
mei zuo hao 	沒做好	c=1 d=1 t=15228
men 	們	c=15 d=0.1 t=56968
men jin 	門禁	c=2 d=0.132425 t=59920
men ka 	門卡	c=1 d=1 t=25575
men zhe bian 	們這邊	c=1 d=1 t=17597
meng en 	蒙恩	c=1 d=1 t=9580
mi huo 	迷惑	c=1 d=1 t=19947
mi ma 	密碼	c=9 d=0.00111936 t=59920
mian 	麪	c=5 d=1 t=55391
mian dui mian 	面對面	c=1 d=0.612626 t=59920
mian fei 	免費	c=1 d=1 t=35879
mian shi 	面試	c=1 d=1 t=13868
mian tan 	面談	c=2 d=0.1 t=49178
mian tan biao 	面談表	c=1 d=1 t=49179
mian xiang 	面向	c=3 d=1.99005 t=54300
miao 	秒	c=13 d=1 t=54491
miao shu 	描述	c=30 d=0.00330412 t=59920
miao shu le 	描述了	c=2 d=1 t=58719
miao zhong 	秒鐘	c=1 d=1 t=11313
min 	民	c=1 d=1 t=51204
min gan 	敏感	c=1 d=1 t=16409
ming 	名	c=5 d=0.956415 t=44914
ming 	明	c=2 d=1 t=33180
ming bai 	明白	c=1 d=1 t=29734
ming cheng 	名稱	c=2 d=1 t=57461
ming liao 	明瞭	c=1 d=1 t=40185
ming ling 	命令	c=19 d=0.0148795 t=59920
ming ling hang 	命令行	c=5 d=1 t=24504
ming ling zi 	命令字	c=5 d=0.882886 t=50264
ming ling zi hou 	命令字後	c=1 d=1 t=50265
ming ming 	命名	c=3 d=0.835876 t=59920
ming que 	明確	c=1 d=1 t=29083
ming tian 	明天	c=23 d=1 t=49583
ming tian le 	明天了	c=1 d=1 t=26735
ming wei 	名爲	c=0 d=0.1 t=32951
ming wei zai 	名爲在	c=1 d=1 t=32952
ming xia 	名下	c=2 d=1.03271 t=26224
ming xian 	明顯	c=1 d=1 t=50155
ming zao 	明早	c=1 d=1 t=30437
ming zi 	名字	c=20 d=1.17924 t=59920
mo 	末	c=0 d=0.1 t=22957
mo ban 	模板	c=5 d=1.9802 t=52743
mo ban lei 	模板類	c=2 d=1.99501 t=42862
mo ca 	摩擦	c=1 d=0.882497 t=59920
mo duan 	末端	c=1 d=1 t=34621
mo kuai 	模塊	c=77 d=0.268627 t=59920
mo kuai hua 	模塊化	c=1 d=1 t=3846
mo ming 	莫名	c=1 d=1 t=44164
mo ming qi miao 	莫名其妙	c=1 d=3.64405e-07 t=59920
mo mo 	默默	c=0 d=7.89067e-09 t=59920
mo mo deng dai 	默默等待	c=1 d=7.93022e-08 t=59920
mo ni 	模擬	c=11 d=0.000304531 t=59920
mo re 	末熱	c=1 d=1 t=46968
mo ren 	默認	c=65 d=9.88567e-06 t=59920
mo ren zhi 	默認值	c=14 d=1.00033 t=57265
mo shi 	模式	c=17 d=0.0616156 t=59920
mo shi xia 	模式下	c=2 d=1 t=51093
mo shu 	魔術	c=0 d=0.1 t=16297
mo shu zi 	魔術字	c=2 d=1 t=57862
mo xing 	模型	c=32 d=2.10525 t=59920
mo xing zhong 	模型中	c=1 d=1 t=36838
mou 	某	c=8 d=1 t=55836
mou ci 	某次	c=1 d=1 t=17619
mou ge 	某個	c=17 d=1.25505 t=55545
mou tian 	某天	c=1 d=1 t=35015
mou xie 	某些	c=28 d=1.96079 t=59620
mou yi 	某一	c=5 d=0.1 t=44822
mou yi ge 	某一個	c=2 d=1 t=48100
mou yi tiao 	某一挑	c=1 d=1 t=37890
mou yi zu 	某一組	c=3 d=1 t=47437
mou zhong 	某種	c=4 d=1 t=48675
mu biao 	目標	c=12 d=0.0213214 t=59920
mu biao biao 	目標標	c=1 d=1 t=5209
mu biao biao 	目標表	c=6 d=1.42956 t=49978
mu biao jie dian 	目標節點	c=1 d=8.21129e-06 t=59920
mu di 	目的	c=13 d=2.67226e-05 t=59920
mu lu 	目錄	c=54 d=0.00843241 t=59920
mu lu le 	目錄了	c=1 d=1 t=7952
mu lu xia 	目錄下	c=1 d=1 t=17438
mu qian 	目前	c=46 d=0.00491728 t=59920
mu qian wei zhi 	目前爲止	c=1 d=1 t=20975
na 	哪	c=6 d=1 t=52469
na 	拿	c=6 d=1 t=53976
na 	那	c=56 d=1.00003 t=59805
na bian 	那邊	c=43 d=0.0167903 t=59920
na bu 	那不	c=0 d=0.1 t=27057
na bu dao 	拿不到	c=1 d=1 t=18179
na bu fen 	那部分	c=3 d=1 t=35992
na bu ye 	那不也	c=1 d=1 t=27058
na chu de 	哪出的	c=1 d=1 t=20053
na chu qu 	拿出去	c=1 d=1 t=42517
na ci 	那次	c=2 d=1 t=47597
na cun 	那存	c=2 d=1.08458 t=19596
na dao 	拿到	c=2 d=3.17564e-06 t=59920
na ge 	哪個	c=30 d=1.00101 t=57803
na ge 	拿個	c=2 d=1.36788 t=11846
na ge 	那個	c=70 d=0.115434 t=59920
na ge wen ti 	那個問題	c=1 d=1 t=18401
na guo 	拿過	c=1 d=1 t=19594
na guo lai 	拿過來	c=2 d=1 t=32409
na hang 	那行	c=1 d=1 t=53693
na hui lai 	拿回來	c=2 d=1.97045 t=32240
na jiu 	那就	c=4 d=1 t=52005
na kuai 	那塊	c=1 d=1 t=13416
na lai 	哪來	c=3 d=1 t=35759
na lai 	拿來	c=3 d=1 t=31291
na li 	哪裏	c=6 d=1.08914 t=56129
na li 	那裏	c=10 d=0.128093 t=59920
na me 	那麼	c=13 d=1 t=58347
na me duo 	那麼多	c=3 d=0.1 t=53202
na na 	拿拿	c=1 d=1 t=36989
na pa 	哪怕	c=3 d=1 t=29067
na shang 	拿上	c=1 d=1 t=22401
na shi 	那是	c=1 d=1 t=17397
na tai 	哪臺	c=5 d=1 t=56016
na tai 	那臺	c=2 d=1.12185 t=28782
na tian 	哪天	c=1 d=1 t=20353
na tian 	那天	c=7 d=1 t=59557
na wo 	那我	c=1 d=1 t=32223
na wo yong 	那我用	c=1 d=1 t=13909
na xia 	拿下	c=2 d=1.97531 t=4478
na xie 	哪些	c=21 d=0.131102 t=59920
na xie 	那些	c=7 d=1.74826 t=58171
na xie ge 	哪些個	c=1 d=1 t=5212
na yang 	那樣	c=3 d=1 t=52663
na yi 	哪一	c=0 d=2.23244e-08 t=59920
na yi 	那一	c=1 d=0.1 t=11475
na yi ban 	哪一版	c=1 d=1 t=55856
na yi ban 	那一版	c=2 d=1 t=55854
na yi ceng 	那一層	c=1 d=1 t=14150
na yi ge 	哪一個	c=2 d=1 t=41039
na yi hang 	哪一行	c=1 d=1 t=27678
na yi tiao 	那一條	c=1 d=1 t=37896
na yi zhong 	哪一中	c=1 d=2.24363e-07 t=59920
na zhong 	哪種	c=1 d=1 t=55296
na zhong 	那種	c=1 d=1 t=20361
na zou 	拿走	c=1 d=1 t=28252
nai nai 	奶奶	c=1 d=1 t=4061
nan 	難	c=3 d=1 t=37492
nan da 	南大	c=0 d=2.90183e-05 t=59920
nan da tong yong 	南大通用	c=2 d=0.961078 t=59920
nan dao 	難道	c=1 d=1 t=18134
nan du 	難度	c=2 d=1 t=16727
nan fang 	南方	c=1 d=1 t=7670
nan feng 	南鋒	c=2 d=1.956 t=11195
nan ge 	楠哥	c=14 d=1 t=34908
nan jie 	難解	c=1 d=1 t=12386
nan kai 	南開	c=2 d=1.5623e-06 t=59920
nan kan 	難看	c=0 d=0.1 t=15713
nan yi 	難以	c=3 d=1 t=53397
nan yong 	男用	c=1 d=1 t=16269
nan yong 	難用	c=2 d=1.68386 t=16346
ne 	呢	c=62 d=1.00904 t=57997
nei 	內	c=4 d=5.11883e-05 t=59920
nei bu 	內部	c=68 d=0.0540116 t=59920
nei bu jie kou 	內部接口	c=1 d=1 t=32711
nei bu wang luo 	內部網絡	c=1 d=0.965022 t=40045
nei bu wang luo zhong 	內部網絡中	c=1 d=1 t=40046
nei ce 	內測	c=1 d=1.98992e-07 t=59920
nei cun 	內存	c=269 d=0.00064909 t=59920
nei cun shu 	內存數	c=1 d=1 t=48792
nei cun zhong 	內存中	c=2 d=1 t=57388
nei he 	內核	c=9 d=1.96979e-05 t=59920
nei nei rong 	內內容	c=1 d=1 t=36531
nei rong 	內容	c=38 d=0.365479 t=59920
nei wai 	內外	c=1 d=1 t=40508
nei wang 	內網	c=4 d=0.000269215 t=59920
nei wang le 	內網了	c=1 d=1 t=44219
nei xun 	內訓	c=1 d=1 t=22208
neng 	能	c=137 d=0.539404 t=59920
neng ba 	能把	c=2 d=1 t=46953
neng bu neng 	能不能	c=9 d=0.324652 t=59920
neng chu 	能出	c=1 d=1 t=10575
neng fou 	能否	c=6 d=0.321422 t=59920
neng gou 	能夠	c=18 d=3.86873e-05 t=59920
neng guo 	能過	c=1 d=1 t=21700
neng li 	能力	c=3 d=1 t=48422
neng yong 	能用	c=3 d=1.72616 t=16020
neng yong me 	能用麼	c=1 d=1 t=14186
ni 	你	c=294 d=0.665438 t=59920
ni de 	你的	c=3 d=1 t=56493
ni hao 	你好	c=6 d=0.076637 t=59920
ni he 	你和	c=1 d=1 t=27718
ni jiu 	你就	c=1 d=1 t=10318
ni kan 	你看	c=0 d=0.1 t=24882
ni kan ne 	你看呢	c=1 d=1 t=24883
ni ke 	你可	c=1 d=1 t=32357
ni men 	你們	c=20 d=1.45158 t=56737
ni men hao 	你們好	c=1 d=1 t=58325
ni ming 	匿名	c=1 d=1 t=38416
ni na 	你那	c=6 d=1 t=52575
ni na bian 	你那邊	c=3 d=1.97045 t=54791
ni neng 	你能	c=1 d=1 t=9881
ni shi 	你是	c=1 d=1 t=46940
ni xian 	你先	c=1 d=1 t=33396
ni xian yong 	你先用	c=1 d=1 t=25587
ni yao shi 	你要是	c=5 d=1 t=36299
ni yong 	你用	c=5 d=1 t=56776
ni yong ba 	你用吧	c=4 d=1 t=37677
ni you 	你有	c=1 d=1 t=44207
ni zai yong 	你在用	c=1 d=1 t=15918
ni zhi dao 	你知道	c=1 d=1 t=11730
nian 	唸	c=1 d=1 t=23249
nian 	年	c=2 d=1 t=27498
nian jia 	年假	c=1 d=1 t=53698
nin hao 	您好	c=3 d=0.066205 t=59920
niu 	牛	c=1 d=1 t=27750
nong 	弄	c=6 d=1 t=57662
nong ge 	弄個	c=4 d=1 t=43903
nong hang 	農行	c=13 d=2.76786 t=57947
nong huai 	弄壞	c=1 d=1 t=29994
nong huai le 	弄壞了	c=1 d=1 t=30036
nong lai 	弄來	c=1 d=1 t=20341
nong luan 	弄亂	c=1 d=1 t=15688
nong wan 	弄完	c=3 d=1 t=58397
nong xia lai 	弄下來	c=2 d=1 t=18219
nuo dao 	挪到	c=2 d=1 t=58389
nuo dong 	挪動	c=1 d=1 t=34760
nv sheng 	女生	c=2 d=1.96079 t=57618
o 	哦	c=37 d=1.00005 t=54783
ou 	偶	c=1 d=1 t=10333
ou de 	偶得	c=0 d=0.1 t=12133
ou de shen 	偶得神	c=1 d=1 t=12134
ou er 	偶爾	c=2 d=1 t=27427
ou fa 	偶發	c=5 d=1 t=31900
ou ran 	偶然	c=1 d=1 t=11061
ou shu 	偶數	c=1 d=6.94433e-05 t=59920
pa 	怕	c=7 d=1 t=37299
pa cao 	怕草	c=1 d=6.12835e-05 t=59920
pa xia 	趴下	c=1 d=1 t=28351
pai 	拍	c=1 d=1 t=14281
pai 	排	c=1 d=1 t=57035
pai cha 	排查	c=5 d=1.00171 t=47246
pai chu 	排除	c=2 d=1.00001 t=46608
pai dao 	拍到	c=1 d=1 t=20385
pai dui 	排隊	c=2 d=1 t=52520
pai fang 	排放	c=1 d=1 t=20343
pai lie 	排列	c=1 d=1 t=32626
pai shang 	排上	c=1 d=1 t=25015
pai sheng 	派生	c=0 d=0.00921477 t=59920
pai sheng lei 	派生類	c=2 d=0.21241 t=59920
pai sheng zi 	派生自	c=1 d=0.00143728 t=59920
pai xu 	排序	c=4 d=1 t=34533
pan 	盤	c=1 d=1 t=21203
pan ding 	判定	c=2 d=1.00049 t=55846
pan duan 	判斷	c=2 d=1 t=54364
pao 	拋	c=2 d=1.98511 t=41138
pao 	跑	c=39 d=1.63877 t=57039
pao bu dao 	跑不到	c=1 d=1 t=56934
pao chu 	拋出	c=12 d=1.72722 t=31653
pao chu 	跑出	c=0 d=0.1 t=52552
pao chu lai 	跑出來	c=1 d=1 t=53083
pao chu le 	拋出了	c=1 d=1 t=26783
pao chu le 	跑出了	c=1 d=1 t=52553
pao ge 	跑個	c=7 d=1.96079 t=45113
pao guo 	跑過	c=5 d=1 t=40651
pao guo le 	跑過了	c=2 d=1 t=31590
pao hui gui 	跑回歸	c=1 d=1 t=22255
pao le 	跑了	c=16 d=1.96228 t=53993
pao pao 	跑跑	c=11 d=1.03633 t=53229
pao qi 	拋棄	c=2 d=1 t=40013
pao qi lai 	跑起來	c=2 d=1.20291 t=38726
pao qu 	跑去	c=2 d=1 t=37403
pao shang 	跑上	c=0 d=0.1 t=57931
pao shang le 	跑上了	c=1 d=1 t=57932
pao si 	跑死	c=1 d=1 t=52307
pao wan 	跑完	c=3 d=0.1 t=33142
pao wan le 	跑完了	c=3 d=1.00341 t=57911
pao xia 	跑下	c=2 d=1 t=27599
pao xing neng 	跑性能	c=1 d=1 t=33115
pao yi ci 	跑一次	c=1 d=1 t=11654
pao yi ge 	跑一個	c=1 d=1 t=28262
pao zhe 	跑着	c=2 d=1 t=16011
pei hao 	配好	c=1 d=0.1 t=33100
pei hao le 	配好了	c=1 d=1 t=33101
pei he 	配合	c=9 d=1 t=50187
pei se 	配色	c=2 d=1.66698 t=7834
pei shen 	陪審	c=1 d=1 t=53329
pei zhi 	配置	c=79 d=0.0314752 t=59920
pei zhi wen jian 	配置文件	c=2 d=1 t=28330
pei zhi xia 	配置下	c=2 d=1 t=31790
pei zhi xiang 	配置項	c=12 d=1.00053 t=57264
peng 	碰	c=0 d=0.1 t=38071
peng shang 	碰上	c=1 d=1 t=22664
peng shang le 	碰上了	c=1 d=1 t=12100
peng yi xia 	碰一下	c=1 d=1 t=38072
pi liang 	批量	c=2 d=0.000578542 t=59920
pi neng 	俾能	c=1 d=0.060205 t=59920
pi pei 	匹配	c=5 d=1.08458 t=36532
pi yue 	批閱	c=1 d=1 t=59475
pi zhu 	批註	c=1 d=1 t=51031
pi zhun 	批准	c=1 d=0.731284 t=56245
pian 	片	c=1 d=1 t=7692
pian yi 	偏移	c=1 d=1 t=6843
piao liang 	漂亮	c=1 d=0.00937227 t=59920
pin 	拼	c=1 d=1 t=16893
pin fan 	頻繁	c=18 d=0.0245317 t=59920
pin lv 	頻率	c=2 d=1.93707 t=34443
pin xie 	拼寫	c=1 d=1 t=18569
pin yin 	拼音	c=2 d=0.00438904 t=59920
ping bi 	屏蔽	c=2 d=0.1 t=51904
ping bi le 	屏蔽了	c=1 d=1 t=51905
ping deng 	平等	c=1 d=1 t=55141
ping ding 	評定	c=1 d=1 t=26867
ping gu 	評估	c=9 d=0.00975476 t=59920
ping guo 	蘋果	c=1 d=1 t=35833
ping guo 	評過	c=1 d=1 t=53964
ping jing 	平靜	c=1 d=1 t=24117
ping jing 	瓶頸	c=10 d=0.1 t=59340
ping jing dian 	瓶頸點	c=1 d=1 t=59341
ping jun 	平均	c=2 d=1.00047 t=55842
ping mu 	屏幕	c=2 d=1.93707 t=15569
ping shen 	評審	c=29 d=1.48493 t=59920
ping shi 	平時	c=2 d=1 t=28185
ping tai 	平臺	c=14 d=0.609766 t=59920
ping xing 	平行	c=1 d=0.000325548 t=59920
ping zhang 	屏障	c=1 d=1 t=42969
po huai 	破壞	c=3 d=1.47951 t=37308
po lan 	破爛	c=1 d=1 t=17742
pu bian 	普遍	c=1 d=1 t=40970
pu kai 	鋪開	c=1 d=1 t=50213
pu tong 	普通	c=1 d=1 t=55396
qi 	其	c=53 d=0.458883 t=59920
qi 	啓	c=7 d=1 t=23707
qi 	器	c=4 d=1 t=56239
qi 	期	c=5 d=1 t=42435
qi 	起	c=14 d=1 t=36589
qi bu 	起步	c=1 d=1 t=16442
qi dai 	期待	c=1 d=1 t=26764
qi dao 	起到	c=7 d=0.315058 t=59920
qi dong 	啓動	c=18 d=0.000153345 t=59920
qi dong hou 	啓動後	c=2 d=0.000135709 t=59920
qi dong shi 	啓動時	c=1 d=1 t=30977
qi fa 	啓發	c=1 d=1 t=41758
qi guai 	奇怪	c=10 d=1.00026 t=52636
qi guai le 	奇怪了	c=1 d=1 t=28494
qi jian 	期間	c=8 d=1 t=34572
qi jian 	起見	c=1 d=1 t=40342
qi lai 	起來	c=11 d=0.106459 t=59920
qi lin 	麒麟	c=1 d=1 t=59825
qi ma 	起碼	c=1 d=1 t=14273
qi miao 	奇妙	c=1 d=1 t=44165
qi ming 	起名	c=1 d=1 t=3594
qi shi 	其實	c=70 d=0.151434 t=59920
qi shi 	起始	c=4 d=1.38508 t=24910
qi shi shi jian 	起始時間	c=1 d=1 t=11371
qi ta 	其他	c=165 d=0.914004 t=59920
qi ta de 	其他的	c=0 d=0.1 t=51866
qi ta de ku 	其他的庫	c=1 d=1 t=51867
qi ta ren 	其他人	c=3 d=0.1 t=58060
qi ta ren wen 	其他人問	c=1 d=1 t=58061
qi ting 	啓停	c=4 d=1 t=57209
qi tong 	期銅	c=1 d=1 t=13555
qi wang 	期望	c=23 d=1 t=57600
qi yong 	啓用	c=57 d=0.000340532 t=59920
qi yong hou 	啓用後	c=2 d=1 t=47377
qi yong le 	啓用了	c=4 d=1 t=52095
qi you 	汽油	c=1 d=1 t=20349
qi yu 	其餘	c=13 d=1 t=55799
qi zhi 	其值	c=1 d=1 t=49842
qi zhong 	其中	c=61 d=0.701636 t=59920
qia hao 	恰好	c=9 d=1 t=58104
qian 	前	c=7 d=0.1 t=59151
qian 	錢	c=2 d=0.000259284 t=59920
qian duan 	前端	c=1 d=1 t=3827
qian hou 	前後	c=2 d=1.00001 t=45530
qian ji tian 	前幾天	c=2 d=1 t=36350
qian liang 	前兩	c=2 d=1 t=35261
qian liang tian 	前兩天	c=6 d=1 t=58074
qian mian 	前面	c=25 d=1.5919 t=59034
qian qi 	前期	c=3 d=1 t=37506
qian que 	欠缺	c=1 d=3.65286e-06 t=59920
qian ti 	前提	c=2 d=0.0156076 t=59920
qian ti xia 	前提下	c=3 d=1 t=55119
qian tian 	前天	c=1 d=1 t=18936
qian wen 	前文	c=3 d=1.73863e-07 t=59920
qian xiang 	前項	c=2 d=1 t=50468
qian xiang ding yi 	前向定義	c=1 d=1 t=53559
qian xiang jie dian 	前向節點	c=1 d=1 t=50464
qian yan 	前言	c=2 d=1 t=54973
qian yi 	前一	c=0 d=0.1 t=24415
qian yi 	遷移	c=1 d=1 t=35215
qian yi ci 	前一次	c=1 d=1 t=59152
qian yi duan 	前一段	c=1 d=1 t=59405
qian yi zhen 	前一陣	c=4 d=1 t=56755
qian yi zhen 	錢一陣	c=1 d=0.00260584 t=59920
qian zhe 	前者	c=1 d=1 t=8230
qian zhui 	前綴	c=2 d=1 t=58690
qiang 	強	c=3 d=1 t=47090
qiang 	搶	c=1 d=1 t=29248
qiang di 	搶地	c=0 d=0.1 t=32461
qiang di zhu 	搶地主	c=1 d=1 t=32462
qiang diao 	強調	c=1 d=1 t=23203
qiang ge 	強哥	c=1 d=1 t=11537
qiang han 	強悍	c=1 d=1 t=55532
qiang suo 	搶鎖	c=2 d=1.91851 t=28126
qiang xing 	強行	c=1 d=1 t=5451
qiang zhan 	搶佔	c=3 d=1 t=35347
qiang zhi 	強制	c=2 d=1 t=45695
qiang zou 	搶走	c=2 d=1 t=46717
qiao hao 	橋好	c=1 d=1 t=15571
qiao he 	巧合	c=1 d=1 t=4305
qie 	且	c=36 d=0.193286 t=59920
qie huan 	切換	c=4 d=0.0780817 t=59920
qing 	清	c=1 d=1 t=14334
qing 	請	c=110 d=0.190804 t=59920
qing 	青	c=1 d=1 t=39847
qing bang mang 	請幫忙	c=1 d=1 t=29355
qing can kao 	請參考	c=1 d=1 t=53782
qing cha shou 	請查收	c=5 d=1 t=59920
qing chu 	清楚	c=9 d=0.173774 t=59920
qing jia 	請假	c=2 d=1 t=46042
qing jia le 	請加了	c=2 d=1 t=49580
qing jiao 	請教	c=13 d=1.66076 t=58405
qing jing 	情景	c=0 d=0.1 t=5437
qing jing xia 	情景下	c=1 d=1 t=5438
qing kong 	清空	c=7 d=0.1 t=40684
qing kong le 	清空了	c=1 d=1 t=40685
qing kuang 	情況	c=98 d=1.19071 t=59920
qing kuang jin xing 	情況進行	c=1 d=1 t=55507
qing kuang xia 	情況下	c=13 d=0.2449 t=59920
qing le 	請了	c=3 d=1 t=49578
qing li 	清理	c=20 d=1 t=53874
qing li yi xia 	清理一下	c=1 d=1 t=33421
qing ling 	清零	c=1 d=1 t=42836
